HolderAddress,Balance,PendingBalanceUpdate,Date,Change
0x078e88e465f2a430399e319d57543a7a76e97668,136279199.44365966,,2026-01-14 21:28,
0xf84408070b4de16d6bb0ab2fd8b19d37e3fd1422,133593165.46811846,,2026-01-14 21:28,
0xfc8e410501fa7213c1efec6fe497262355b1f063,0.0,,2026-01-14 21:28,
0xd4bf6958538f26266ef2a32db47d296323734b5a,0.0,,2026-01-14 21:28,
0x4f9a04bf67a65a59ef0beb8dcc83f7f3cc5c5d23,0.0,,2026-01-14 21:28,
0x85debcfc9792195a62899b5937db15c8ce14f0ea,125384062.49871284,,2026-01-14 21:28,
0xed5b18ce5f58efb74229b639b4df3dbe6bf52021,115679568.5048098,,2026-01-14 21:28,
0x75afaece8cf2a7974b1e541648923afd9339b3f8,0.0,,2026-01-14 21:28,
0x7cf983852f8715be3d0c97897bdf97a8c55739cd,112505276.4621532,,2026-01-14 21:28,
0xdc59da89633fbd3bd27bd22e5acede444c394beb,0.0,,2026-01-14 21:28,
0xe37fa838dabe3ee31394b620e9ebbc04c7d3494f,105838776.7310868,,2026-01-14 21:28,
0xd451b354e6ae8d7c191b5ecf3fcdf2337aa2a2d0,103603248.1922404,,2026-01-14 21:28,
0xf7757f0e9b68bd2c256ce0410589de58f22cb277,0.0,,2026-01-14 21:28,
0xc5085f53fe9e547b68bae85e435fce23d246793e,0.0,,2026-01-14 21:28,
0x4761e12b65d001bde2ea3ef60b9840ce2310893d,100927587.01467498,,2026-01-14 21:28,
0xfbd463c3794b6adb79cb3c4b28e1e97450afd3ca,0.0,,2026-01-14 21:28,
0x5943270542f42d6ce2607c046ad4cf8a97918820,100072479.93168664,,2026-01-14 21:28,
0x6ea732b1e79ba5b42eb174e406911900723ffd7e,100000000.0,,2026-01-14 21:28,
0x155f2475479044582364a9d1ed01f85c20c527ba,0.0,,2026-01-14 21:28,
0x66ad813b63034598561fb69abace2c208d83a9d9,0.0,,2026-01-14 21:28,
0x416ec2ca21a38cbcfeacd6a14532b3f348356d23,0.0,,2026-01-14 21:28,
0x6bd777bf19dfba7fddfa189876b0aac22dd9974a,97572521.05702253,,2026-01-14 21:28,
0xbc5ce2dfc7a89d597c26f556a9670a99b73f2e0b,96638833.13282984,,2026-01-14 21:28,
